time,total_bandwidth_usage,cpu,bw,n_users,qos
2024-05-18 11:01:15.874000128,8.3,2000.0,10.0,5.0,1.6600000000000001
2024-05-18 11:01:16.874000128,8.53,2000.0,10.0,5.0,1.706
2024-05-18 11:01:17.874000128,8.05,2000.0,10.0,5.0,1.61
2024-05-18 11:01:18.874000128,7.67,2000.0,10.0,5.0,1.534
2024-05-18 11:01:19.874000128,8.09,2000.0,10.0,5.0,1.6179999999999999
2024-05-18 11:01:20.874000128,8.39,2000.0,10.0,5.0,1.6780000000000002
2024-05-18 11:01:21.874000128,8.38,2000.0,10.0,5.0,1.6760000000000002
2024-05-18 11:01:22.874000128,8.39,2000.0,10.0,5.0,1.6780000000000002
2024-05-18 11:01:23.874000128,8.22,2000.0,10.0,5.0,1.6440000000000001
2024-05-18 11:01:24.874000128,8.22,2000.0,10.0,5.0,1.6440000000000001
2024-05-18 11:01:25.874000128,7.96,2000.0,10.0,5.0,1.592
2024-05-18 11:01:26.874000128,7.96,2000.0,10.0,5.0,1.592
2024-05-18 11:01:27.874000128,8.12,2000.0,10.0,5.0,1.6239999999999999
2024-05-18 11:01:28.874000128,8.12,2000.0,10.0,5.0,1.6239999999999999
2024-05-18 11:01:29.874000128,8.61,2000.0,10.0,5.0,1.722
2024-05-18 11:01:30.874000128,8.05,2000.0,10.0,5.0,1.61
2024-05-18 11:01:31.874000128,8.0,2000.0,10.0,5.0,1.6
2024-05-18 11:01:32.874000128,8.54,2000.0,10.0,5.0,1.7079999999999997
2024-05-18 11:01:33.874000128,8.14,2000.0,10.0,5.0,1.6280000000000001
2024-05-18 11:01:34.874000128,7.91,2000.0,10.0,5.0,1.582
2024-05-18 11:01:35.874000128,8.11,2000.0,10.0,5.0,1.6219999999999999
2024-05-18 11:01:36.874000128,7.707,2000.0,10.0,5.0,1.5413999999999999
2024-05-18 11:01:37.874000128,8.237,2000.0,10.0,5.0,1.6474
2024-05-18 11:01:38.874000128,7.91,2000.0,10.0,5.0,1.582
2024-05-18 11:01:39.874000128,7.91,2000.0,10.0,5.0,1.582
2024-05-18 11:01:40.874000128,8.45,2000.0,10.0,5.0,1.69
2024-05-18 11:01:41.874000128,8.45,2000.0,10.0,5.0,1.69
2024-05-18 11:01:42.874000128,7.86,2000.0,10.0,5.0,1.572
2024-05-18 11:01:43.874000128,7.86,2000.0,10.0,5.0,1.572
2024-05-18 11:01:44.874000128,8.52,2000.0,10.0,5.0,1.704
2024-05-18 11:01:45.874000128,8.179,2000.0,10.0,5.0,1.6358000000000001
2024-05-18 11:01:46.874000128,7.359,2000.0,10.0,5.0,1.4718
2024-05-18 11:01:47.874000128,7.6,2000.0,10.0,5.0,1.52
2024-05-18 11:01:48.874000128,8.23,2000.0,10.0,5.0,1.6460000000000001
2024-05-18 11:01:49.874000128,7.765,2000.0,10.0,5.0,1.553
2024-05-18 11:01:50.874000128,7.255,2000.0,10.0,5.0,1.451
2024-05-18 11:01:51.874000128,7.97,2000.0,10.0,5.0,1.5939999999999999
2024-05-18 11:01:52.874000128,8.21,2000.0,10.0,5.0,1.6420000000000001
2024-05-18 11:01:53.874000128,8.19,2000.0,15.0,5.0,1.638
2024-05-18 11:01:54.874000128,8.64,2000.0,15.0,5.0,1.7280000000000002
2024-05-18 11:01:55.874000128,8.095,2000.0,15.0,5.0,1.6190000000000002
2024-05-18 11:01:56.874000128,8.005,2000.0,15.0,5.0,1.6010000000000002
